Potential_Customer,C_ID,Cust_Last_Purchase,Pur_3_years,Pur_5_years,Pur_3_years_Indirect,Pur_5_years_Indirect,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Ad_Res_1_year,Ad_Res_3_Year,Ad_Res_5_Year,Ad_Res_Ind_1_Year,Ad_Res_Ind_3_Year,Ad_Res_Ind_5_Year,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income
1,42096,$20.00 ,1,1,0,0,$20.00 ,$20.00 ,$20.00 ,,20,20,10,17,15,4,4,6,F,0,,F,U,"$44,656.00 "
1,42176,$10.00 ,5,20,2,9,$5.00 ,$6.00 ,$6.10 ,$5.00 ,16,121,7,20,53,4,11,22,S,1,83,F,H,"$49,133.00 "
1,42165,$10.00 ,3,6,0,1,$19.00 ,$18.00 ,$16.50 ,,18,65,13,34,53,6,6,20,A,0,,M,U,$0.00 
0,42206,,1,8,1,4,$15.00 ,$15.00 ,$9.38 ,$15.00 ,17,77,13,32,52,6,15,20,A,0,38,F,H,"$63,299.00 "
1,42291,$15.00 ,2,19,1,9,$15.00 ,$12.50 ,$10.53 ,$10.00 ,19,130,13,35,76,6,17,32,A,1,,M,U,$0.00 
1,42279,$5.00 ,6,10,4,5,$5.00 ,$6.33 ,$5.60 ,$6.25 ,18,53,12,30,37,6,16,16,S,1,64,F,H,"$34,341.00 "
0,42336,,4,15,2,9,$6.00 ,$6.25 ,$5.22 ,$6.00 ,17,114,11,31,64,5,14,28,S,1,48,F,U,$0.00 
1,188778,$20.00 ,3,8,0,5,$20.00 ,$16.67 ,$13.25 ,,5,113,14,34,60,6,6,25,A,0,41,U,U,$0.00 
0,42342,,4,19,2,14,$0.00 ,$7.00 ,$5.84 ,$8.00 ,14,124,14,31,71,5,12,27,S,1,,F,H,"$33,065.00 "
1,190562,$10.00 ,4,16,3,9,$10.00 ,$9.25 ,$5.94 ,$10.00 ,15,105,6,22,55,3,11,23,A,1,79,F,U,"$34,943.00 "
1,42419,$23.00 ,2,14,0,7,$23.00 ,$22.00 ,$9.29 ,,18,130,13,35,75,6,6,32,A,1,82,M,H,"$35,314.00 "
0,42399,,1,1,1,1,$25.00 ,$25.00 ,$25.00 ,$25.00 ,17,17,11,16,14,5,7,6,F,0,63,F,U,"$35,314.00 "
0,42444,,9,27,4,11,$6.00 ,$6.22 ,$5.48 ,$5.50 ,18,68,13,35,59,6,17,23,S,1,69,M,H,"$36,042.00 "
0,42462,,6,16,5,11,$6.00 ,$11.67 ,$9.69 ,$11.60 ,15,114,14,33,65,6,17,29,S,1,46,M,H,"$36,042.00 "
0,1264,,1,2,1,1,$15.00 ,$15.00 ,$10.00 ,$15.00 ,23,56,8,19,24,3,8,9,N,0,71,M,H,"$36,042.00 "
0,42344,,2,4,0,1,$16.00 ,$13.00 ,$10.50 ,,20,42,12,32,33,6,6,14,A,0,37,F,H,"$36,042.00 "
0,42443,,1,9,0,3,$25.00 ,$25.00 ,$18.89 ,,18,67,13,33,56,6,6,21,S,1,,F,U,"$36,042.00 "
0,42478,,1,3,0,0,$15.00 ,$15.00 ,$12.33 ,,18,52,11,22,31,4,4,11,A,0,73,F,H,"$44,003.00 "
1,42501,$15.00 ,3,5,1,2,$15.00 ,$9.67 ,$9.80 ,$11.00 ,18,40,12,32,35,6,15,14,A,1,77,F,H,"$32,263.00 "
1,42509,$12.00 ,2,12,0,7,$10.00 ,$10.00 ,$10.33 ,,18,89,14,33,61,5,5,22,A,1,75,M,H,"$32,263.00 "
1,42499,$10.00 ,4,6,4,4,$5.00 ,$7.50 ,$6.67 ,$7.50 ,18,33,12,28,28,6,15,13,S,1,68,M,H,"$32,263.00 "
0,8436,,1,19,1,4,$15.00 ,$15.00 ,$13.26 ,$15.00 ,17,198,16,30,61,8,15,19,A,0,84,F,H,"$40,839.00 "
1,42543,$20.00 ,4,4,2,2,$14.00 ,$8.75 ,$8.75 ,$8.00 ,18,27,16,29,27,6,12,10,A,1,,M,U,"$34,330.00 "
1,42548,$11.00 ,2,13,0,9,$11.00 ,$11.00 ,$8.77 ,,18,126,14,33,68,5,5,28,A,1,73,F,H,"$17,589.00 "
0,42574,,1,10,1,6,$15.00 ,$15.00 ,$11.30 ,$15.00 ,20,101,11,26,63,4,10,26,A,1,68,F,H,"$39,664.00 "
0,188283,,3,19,1,11,$10.00 ,$8.33 ,$7.53 ,$5.00 ,6,131,22,42,83,7,16,33,A,1,79,F,H,"$39,664.00 "
0,11543,,3,13,3,5,$20.00 ,$16.33 ,$13.46 ,$16.33 ,17,56,23,43,71,6,17,21,A,1,59,F,H,"$36,879.00 "
1,42589,$15.00 ,2,4,2,3,$15.00 ,$12.50 ,$9.75 ,$12.50 ,17,53,14,33,41,6,14,15,A,0,69,F,H,"$36,879.00 "
1,33190,$11.00 ,4,25,2,13,$12.00 ,$10.75 ,$7.16 ,$11.00 ,21,102,14,33,71,6,15,27,S,1,44,F,U,$0.00 
0,42618,,3,13,1,7,$15.00 ,$11.00 ,$7.00 ,$15.00 ,21,122,13,34,67,6,16,27,A,1,77,F,H,"$55,303.00 "
0,4300,,5,61,3,17,$15.00 ,$15.40 ,$10.64 ,$16.00 ,15,123,38,56,122,6,14,26,A,1,68,M,U,"$38,464.00 "
1,42686,$20.00 ,1,1,1,1,$20.00 ,$20.00 ,$20.00 ,$20.00 ,21,21,11,18,16,4,7,6,F,0,,F,H,"$46,780.00 "
0,10895,,2,10,0,2,$25.00 ,$22.50 ,$13.10 ,,18,65,20,37,65,4,4,18,A,0,72,M,H,"$46,780.00 "
1,42689,$4.00 ,7,7,4,4,$5.00 ,$3.86 ,$3.86 ,$3.50 ,21,34,12,29,30,6,15,13,A,1,,F,U,$0.00 
1,42724,$25.00 ,2,3,0,1,$17.00 ,$12.00 ,$9.67 ,,26,52,11,24,34,4,4,11,A,0,61,M,U,"$38,632.00 "
1,42937,$20.00 ,2,7,1,2,$20.00 ,$20.00 ,$15.57 ,$20.00 ,16,104,15,35,60,6,15,21,A,0,50,M,H,"$38,632.00 "
0,42791,,3,11,1,7,$15.00 ,$11.67 ,$9.27 ,$10.00 ,18,107,14,25,47,6,12,22,S,1,,F,H,"$49,147.00 "
1,42776,$16.00 ,3,3,3,3,$17.00 ,$14.00 ,$14.00 ,$14.00 ,17,33,12,30,28,6,14,12,A,0,,M,H,"$49,147.00 "
1,42778,$10.00 ,1,4,0,0,$15.00 ,$15.00 ,$10.00 ,,26,44,9,29,34,4,4,14,A,0,41,F,U,"$49,147.00 "
0,42856,,1,4,1,3,$30.00 ,$30.00 ,$20.00 ,$30.00 ,19,88,13,23,46,6,10,17,A,0,64,M,H,"$25,380.00 "
1,42878,$10.00 ,4,8,3,4,$10.00 ,$7.25 ,$6.13 ,$6.33 ,19,41,13,33,37,6,16,15,A,1,75,F,H,"$38,261.00 "
0,42931,,2,14,0,7,$26.00 ,$26.00 ,$14.86 ,,17,110,14,36,76,6,6,30,A,1,69,F,U,"$53,324.00 "
0,42907,,2,2,2,2,$15.00 ,$10.00 ,$10.00 ,$10.00 ,24,32,10,25,23,4,10,9,A,0,39,F,U,"$53,324.00 "
1,42913,$5.00 ,5,10,3,5,$15.00 ,$9.40 ,$7.20 ,$10.00 ,16,56,13,33,50,6,16,19,A,1,51,M,H,"$53,324.00 "
0,42940,,3,9,3,7,$11.00 ,$10.33 ,$9.22 ,$10.33 ,21,53,12,22,29,5,10,12,S,1,75,F,H,"$174,305.00 "
1,43492,$12.00 ,2,12,1,10,$13.00 ,$12.00 ,$7.00 ,$11.00 ,18,109,14,29,51,6,13,23,S,1,,F,U,$0.00 
0,42983,,3,7,2,4,$21.00 ,$22.00 ,$19.14 ,$22.50 ,16,53,13,33,43,6,17,19,S,1,76,M,H,"$50,351.00 "
1,42997,$7.00 ,5,16,1,6,$7.00 ,$7.40 ,$6.56 ,$7.00 ,19,77,7,27,51,3,13,21,S,1,79,F,H,"$52,313.00 "
1,43013,$20.00 ,1,5,0,4,$20.00 ,$20.00 ,$12.40 ,,19,93,11,22,50,4,4,18,A,0,75,F,U,"$35,119.00 "
0,43011,,7,11,4,6,$20.00 ,$14.57 ,$14.45 ,$13.00 ,16,89,14,35,56,6,16,22,A,0,61,M,H,"$35,119.00 "
1,70144,$15.00 ,3,12,0,6,$21.00 ,$17.00 ,$13.58 ,,20,115,13,34,74,6,6,29,S,1,80,F,U,"$39,015.00 "
1,43020,$15.00 ,1,1,1,1,$15.00 ,$15.00 ,$15.00 ,$15.00 ,24,24,7,17,15,3,7,6,N,0,,F,U,$0.00 
0,43071,,2,11,2,8,$11.00 ,$11.00 ,$8.45 ,$11.00 ,19,86,13,24,42,6,12,19,A,1,45,F,H,$0.00 
1,190108,$5.00 ,5,6,4,4,$8.00 ,$6.40 ,$6.00 ,$6.25 ,17,33,4,11,12,2,6,6,E,1,,F,U,$0.00 
0,189309,,5,18,1,5,$1.00 ,$14.00 ,$8.22 ,$20.00 ,4,64,14,35,53,6,17,21,A,1,73,F,U,"$41,061.00 "
0,43165,,1,8,1,4,$30.00 ,$30.00 ,$17.13 ,$30.00 ,25,77,11,33,57,6,17,23,A,0,74,M,H,"$41,061.00 "
0,43187,,3,9,0,2,$20.00 ,$3.67 ,$5.11 ,,18,51,13,34,40,6,6,17,A,0,68,F,H,"$50,021.00 "
0,69455,,3,16,3,12,$100.00 ,$56.67 ,$18.31 ,$56.67 ,18,112,9,21,59,4,12,25,S,1,86,M,H,"$50,021.00 "
1,43235,$15.00 ,2,5,1,4,$16.00 ,$15.00 ,$12.80 ,$16.00 ,21,64,12,30,47,6,14,18,A,0,,U,U,$0.00 
1,43226,$20.00 ,2,2,2,2,$20.00 ,$15.00 ,$15.00 ,$15.00 ,22,29,10,23,22,4,10,9,A,0,75,M,H,"$37,377.00 "
0,43232,,4,5,3,3,$5.00 ,$10.25 ,$10.60 ,$9.00 ,17,44,12,30,36,6,15,15,A,0,83,F,H,"$37,377.00 "
1,190408,$7.00 ,3,10,2,6,$10.00 ,$8.33 ,$6.60 ,$10.00 ,19,110,4,12,36,2,6,17,E,1,66,U,U,$0.00 
1,43010,$25.00 ,2,4,1,1,$25.00 ,$20.00 ,$17.00 ,$25.00 ,22,65,15,35,46,6,15,15,A,0,52,F,H,$0.00 
1,128975,$15.00 ,7,15,5,7,$11.00 ,$9.29 ,$8.27 ,$9.40 ,16,56,15,36,52,6,17,20,A,1,37,M,H,$0.00 
0,43549,,1,4,0,1,$15.00 ,$15.00 ,$11.75 ,,18,56,11,28,39,5,5,15,A,0,,M,U,$0.00 
1,187417,$45.00 ,3,3,2,2,$10.00 ,$10.67 ,$10.67 ,$10.00 ,16,23,5,9,8,1,3,3,E,0,,M,U,$0.00 
1,43101,$10.00 ,4,19,2,9,$15.00 ,$18.25 ,$19.00 ,$18.00 ,16,109,9,24,62,4,13,27,S,1,48,F,U,$0.00 
1,43086,$20.00 ,3,3,2,2,$7.00 ,$7.33 ,$7.33 ,$6.00 ,17,24,12,23,21,6,11,9,N,0,72,F,U,$0.00 
1,43119,$9.00 ,3,4,2,2,$6.00 ,$6.33 ,$6.25 ,$4.50 ,17,28,13,26,26,6,12,10,A,0,,F,U,"$73,831.00 "
0,43137,,3,8,0,3,$10.00 ,$10.00 ,$9.13 ,,16,72,15,34,52,5,5,19,A,0,57,U,U,$0.00 
1,43126,$5.00 ,7,8,5,5,$5.00 ,$4.86 ,$4.88 ,$4.60 ,16,32,13,30,29,6,14,12,A,1,48,F,U,$0.00 
0,4869,,4,10,4,4,$10.00 ,$12.00 ,$13.30 ,$12.00 ,9,114,28,47,64,8,17,18,A,1,77,F,U,$0.00 
1,43052,$5.00 ,4,9,3,5,$15.00 ,$10.00 ,$8.11 ,$10.00 ,18,64,7,27,41,4,13,17,A,0,43,F,U,$0.00 
1,43333,$5.00 ,5,9,3,6,$5.00 ,$4.60 ,$4.11 ,$4.33 ,17,50,13,31,38,6,14,15,S,1,72,F,U,$0.00 
1,43321,$25.00 ,1,1,1,1,$25.00 ,$25.00 ,$25.00 ,$25.00 ,21,21,12,19,17,4,7,6,N,0,74,U,U,$0.00 
0,43397,,5,6,4,5,$10.00 ,$8.60 ,$8.00 ,$10.00 ,21,28,12,26,26,6,14,12,A,1,62,M,U,$0.00 
1,42970,$3.00 ,6,14,5,9,$4.00 ,$4.50 ,$4.43 ,$4.40 ,16,65,9,25,42,5,15,19,A,1,,M,U,$0.00 
1,43001,$15.00 ,1,1,0,0,$15.00 ,$15.00 ,$15.00 ,,15,15,7,9,9,2,2,3,E,0,,F,U,$0.00 
0,43311,,2,4,1,2,$20.00 ,$15.50 ,$9.75 ,$11.00 ,15,52,10,23,29,3,8,10,E,0,23,M,U,$0.00 
1,43066,$15.00 ,2,4,0,2,$15.00 ,$13.00 ,$9.50 ,,18,53,12,31,38,6,6,16,A,0,45,M,U,$0.00 
1,43559,$2.00 ,4,30,1,15,$5.00 ,$4.50 ,$3.57 ,$5.00 ,16,130,12,30,73,5,13,30,S,1,84,M,U,"$73,930.00 "
0,43562,,1,2,1,1,$10.00 ,$15.00 ,$12.50 ,$15.00 ,18,21,14,22,19,6,10,8,N,0,41,M,H,"$43,692.00 "
1,43564,$20.00 ,1,1,1,1,$20.00 ,$20.00 ,$20.00 ,$20.00 ,24,24,7,17,15,3,7,6,N,0,52,M,H,"$43,692.00 "
0,126195,,1,1,0,0,$20.00 ,$20.00 ,$20.00 ,,15,15,10,14,12,5,5,6,F,0,47,F,H,"$43,692.00 "
0,43662,,5,9,1,3,$15.00 ,$15.00 ,$14.56 ,$15.00 ,17,57,14,36,49,6,17,20,A,0,37,M,H,"$34,491.00 "
1,43663,$10.00 ,6,18,4,7,$3.00 ,$8.33 ,$6.39 ,$7.50 ,15,69,8,19,38,4,12,15,A,0,17,F,H,"$34,491.00 "
0,185505,,3,21,2,13,$10.00 ,$10.00 ,$9.43 ,$10.00 ,6,128,30,51,97,8,18,38,S,1,,F,U,$0.00 
1,2809,$25.00 ,2,13,2,11,$10.00 ,$13.50 ,$10.46 ,$13.50 ,17,130,22,32,69,9,13,29,A,1,29,F,H,"$54,028.00 "
1,43674,$10.00 ,2,14,0,10,$10.00 ,$10.00 ,$5.71 ,,17,130,6,17,38,2,2,13,S,1,,F,U,$0.00 
0,43748,,1,6,0,2,$25.00 ,$25.00 ,$34.17 ,,25,110,5,13,38,2,2,19,E,0,,F,U,$0.00 
0,43764,,4,10,3,8,$12.00 ,$13.50 ,$14.70 ,$14.67 ,17,69,15,36,60,6,17,23,S,1,74,M,H,"$50,162.00 "
1,11348,$5.00 ,2,12,1,5,$17.00 ,$12.50 ,$12.17 ,$17.00 ,17,76,35,54,99,11,20,28,A,1,,M,U,$0.00 
0,43762,,4,7,2,3,$12.00 ,$14.00 ,$10.86 ,$11.00 ,16,65,15,34,47,6,14,16,A,0,82,M,H,"$50,162.00 "
1,43781,$10.00 ,3,8,2,5,$5.00 ,$8.33 ,$6.13 ,$8.00 ,16,77,14,25,46,5,9,15,S,1,67,M,H,"$51,488.00 "
1,43802,$6.00 ,6,24,4,10,$6.00 ,$6.50 ,$8.96 ,$6.50 ,15,81,15,36,74,6,17,26,S,1,78,F,H,"$42,230.00 "
1,43799,$20.00 ,2,6,1,2,$20.00 ,$16.00 ,$13.17 ,$20.00 ,17,76,13,33,51,6,15,19,A,0,39,F,H,"$42,230.00 "
0,43862,,5,27,2,12,$12.00 ,$10.40 ,$5.63 ,$10.00 ,18,127,13,35,82,6,17,34,S,1,,F,H,"$42,155.00 "
1,2235,$12.00 ,6,17,5,9,$25.00 ,$16.67 ,$10.47 ,$16.00 ,6,69,26,47,76,11,22,29,S,1,65,M,H,"$42,155.00 "
0,6064,,2,13,1,4,$20.00 ,$15.00 ,$12.31 ,$20.00 ,4,119,26,39,74,4,9,13,A,1,,M,H,"$39,689.00 "
1,43884,$5.00 ,5,21,4,9,$3.00 ,$6.00 ,$5.29 ,$5.75 ,18,111,10,27,67,5,15,28,S,1,65,M,H,"$39,689.00 "
1,6403,$10.00 ,3,26,3,10,$10.00 ,$10.00 ,$10.12 ,$10.00 ,4,118,37,57,126,6,15,30,A,1,70,M,H,"$50,359.00 "
0,43952,,2,6,1,5,$18.00 ,$17.00 ,$11.00 ,$16.00 ,26,93,9,28,50,4,12,20,A,1,76,F,H,"$50,359.00 "
1,43949,$6.00 ,7,14,2,4,$5.00 ,$6.00 ,$6.71 ,$8.00 ,16,86,14,34,63,6,15,23,A,1,78,M,H,"$50,359.00 "
1,43927,$25.00 ,1,2,1,2,$20.00 ,$20.00 ,$15.00 ,$20.00 ,20,35,10,22,21,4,9,9,A,0,47,M,H,"$50,359.00 "
1,44009,$20.00 ,1,8,1,3,$20.00 ,$20.00 ,$9.38 ,$20.00 ,18,81,13,31,53,6,14,21,A,1,86,F,H,"$51,648.00 "
1,43998,$22.00 ,3,4,0,0,$25.00 ,$19.67 ,$16.75 ,,18,44,15,32,35,6,6,13,A,0,76,M,H,"$51,648.00 "
0,43981,,1,1,1,1,$15.00 ,$15.00 ,$15.00 ,$15.00 ,17,17,10,15,13,4,6,5,F,0,39,F,U,"$51,648.00 "
1,13288,$20.00 ,6,10,5,6,$20.00 ,$17.00 ,$15.30 ,$19.00 ,8,41,29,48,56,6,16,16,S,1,48,F,H,"$57,365.00 "
1,44060,$100.00 ,2,5,1,2,$30.00 ,$27.50 ,$28.00 ,$25.00 ,26,68,10,31,51,5,15,20,A,0,78,M,U,$0.00 
0,44091,,5,8,3,5,$9.00 ,$9.20 ,$7.50 ,$9.00 ,19,75,11,28,45,5,13,18,A,0,73,F,H,"$50,000.00 "
0,44121,,2,30,2,17,$10.00 ,$10.00 ,$10.23 ,$10.00 ,21,130,10,28,79,4,12,31,A,1,85,M,H,"$35,963.00 "
0,190119,,3,4,2,3,$15.00 ,$12.00 ,$10.25 ,$13.00 ,15,40,4,12,13,2,6,7,E,0,,F,U,$0.00 
1,44154,$30.00 ,1,2,0,1,$20.00 ,$20.00 ,$15.00 ,,26,53,10,24,32,4,4,12,A,0,55,F,U,$0.00 
1,43974,$5.00 ,6,11,4,7,$6.00 ,$4.67 ,$3.82 ,$4.25 ,18,63,12,32,45,6,16,19,A,1,51,M,H,"$82,900.00 "
0,42238,,3,20,2,12,$9.00 ,$7.67 ,$22.80 ,$7.00 ,18,111,14,30,66,5,12,25,S,1,,U,U,$0.00 
1,44243,$20.00 ,2,6,0,3,$14.00 ,$16.00 ,$12.67 ,,18,68,13,30,48,6,6,18,A,1,81,F,U,"$50,864.00 "
0,44287,,10,11,6,6,$5.00 ,$5.50 ,$5.45 ,$5.83 ,17,35,13,30,29,6,15,13,A,1,,F,U,$0.00 
1,6443,$20.00 ,1,13,1,3,$25.00 ,$25.00 ,$14.69 ,$25.00 ,21,93,24,43,85,6,15,18,A,0,72,M,H,"$37,481.00 "
1,591,$25.00 ,5,12,4,6,$20.00 ,$29.00 ,$26.25 ,$28.25 ,16,109,28,48,108,11,22,43,A,1,80,M,H,"$37,481.00 "
0,44303,,4,17,3,13,$10.00 ,$9.50 ,$7.82 ,$9.33 ,20,110,13,32,73,6,17,29,S,1,72,M,U,"$37,481.00 "
1,190727,$11.00 ,3,15,2,8,$11.00 ,$9.00 ,$6.93 ,$8.00 ,26,98,9,27,59,4,13,25,A,1,80,F,U,"$37,481.00 "
0,190090,,4,5,3,4,$15.00 ,$13.00 ,$12.80 ,$13.33 ,18,33,4,11,11,2,6,6,E,1,,U,U,$0.00 
1,44370,$5.00 ,5,18,4,13,$5.00 ,$5.00 ,$4.44 ,$5.00 ,15,128,10,30,62,5,14,29,S,1,82,F,H,"$45,651.00 "
1,427,$10.00 ,3,11,3,5,$10.00 ,$10.00 ,$9.55 ,$10.00 ,18,80,15,35,59,6,17,25,A,0,,M,U,$0.00 
1,5546,$10.00 ,3,18,1,9,$10.00 ,$11.67 ,$9.44 ,$10.00 ,18,111,13,34,77,7,17,33,A,1,78,F,U,$0.00 
1,44351,$35.00 ,1,5,0,2,$20.00 ,$20.00 ,$9.40 ,,19,66,15,31,48,6,6,17,A,0,79,M,H,"$45,651.00 "
1,44336,$15.00 ,1,1,1,1,$15.00 ,$15.00 ,$15.00 ,$15.00 ,17,17,10,15,13,4,6,5,F,0,32,F,H,"$45,651.00 "
0,44383,,1,1,1,1,$15.00 ,$15.00 ,$15.00 ,$15.00 ,17,17,10,15,13,4,6,5,F,0,37,M,U,"$34,101.00 "
0,44395,,4,12,2,5,$13.00 ,$12.00 ,$8.92 ,$11.50 ,18,63,13,35,53,6,17,21,A,1,71,F,H,$0.00 
1,44406,$10.00 ,5,16,3,6,$10.00 ,$6.00 ,$4.63 ,$5.00 ,17,122,13,35,63,6,17,27,A,1,58,F,H,"$35,641.00 "
0,44418,,4,19,3,15,$5.00 ,$5.00 ,$3.89 ,$5.00 ,16,127,12,30,69,5,13,28,S,1,75,M,H,"$41,687.00 "
1,44410,$8.00 ,4,11,1,3,$10.00 ,$8.50 ,$6.91 ,$9.00 ,15,54,7,23,32,4,13,15,A,1,72,M,H,"$41,687.00 "
1,44419,$2.00 ,3,10,1,4,$6.00 ,$14.67 ,$9.60 ,$13.00 ,15,52,18,34,37,7,15,16,A,0,,F,U,$0.00 
1,44433,$10.00 ,4,6,1,2,$15.00 ,$13.50 ,$11.00 ,$10.00 ,17,64,12,33,50,5,15,18,A,0,74,M,H,"$39,772.00 "
0,44431,,1,2,1,1,$15.00 ,$15.00 ,$12.50 ,$15.00 ,16,40,10,25,26,4,10,10,A,0,51,M,H,"$39,772.00 "
0,44442,,6,19,3,7,$10.00 ,$10.00 ,$9.53 ,$10.00 ,19,119,13,35,69,6,17,31,A,1,59,M,H,"$34,010.00 "
0,44441,,4,14,1,4,$16.00 ,$15.00 ,$10.50 ,$15.00 ,18,67,13,34,57,6,17,23,S,1,,F,H,"$34,010.00 "
0,44464,,2,22,1,12,$10.00 ,$10.00 ,$3.82 ,$10.00 ,22,102,12,22,54,6,10,24,S,1,73,M,H,$0.00 
0,44491,,5,5,2,2,$10.00 ,$10.40 ,$10.40 ,$10.00 ,18,32,12,28,26,6,14,12,A,0,52,F,H,"$31,388.00 "
0,36963,,2,6,2,4,$15.00 ,$10.00 ,$5.83 ,$10.00 ,24,68,6,15,26,4,9,12,A,0,,U,U,$0.00 
1,44500,$5.00 ,7,16,4,7,$8.00 ,$9.00 ,$7.59 ,$8.00 ,16,89,15,36,64,6,16,24,A,1,52,F,H,"$30,640.00 "
0,44499,,5,14,2,7,$12.00 ,$12.00 ,$9.29 ,$11.00 ,18,88,14,35,61,6,17,25,S,1,58,F,H,"$30,640.00 "
0,44505,,3,3,1,1,$15.00 ,$8.33 ,$8.33 ,$5.00 ,15,29,11,22,21,4,9,8,A,0,,M,H,"$37,418.00 "
0,187561,,3,4,2,3,$20.00 ,$10.67 ,$9.25 ,$12.50 ,16,41,6,14,17,2,6,7,E,0,,M,U,$0.00 
1,13796,$20.00 ,4,9,2,4,$16.00 ,$11.00 ,$9.67 ,$8.00 ,16,45,26,45,57,7,17,20,S,1,,M,H,$0.00 
1,44582,$5.00 ,8,28,6,17,$3.00 ,$4.38 ,$3.36 ,$3.67 ,15,130,13,34,69,6,17,31,S,1,78,M,H,"$36,654.00 "
0,44593,,2,2,1,1,$15.00 ,$10.00 ,$10.00 ,$5.00 ,18,24,12,23,20,6,11,9,N,0,,M,U,"$37,451.00 "
1,44634,$10.00 ,4,7,3,4,$10.00 ,$10.00 ,$7.29 ,$10.00 ,17,88,13,24,46,6,11,16,A,1,60,M,H,"$53,722.00 "
1,44657,$5.00 ,7,15,5,8,$5.00 ,$4.14 ,$4.00 ,$4.20 ,17,81,13,26,52,6,13,19,A,1,55,M,H,"$37,323.00 "
1,188801,$15.00 ,4,14,3,7,$5.00 ,$10.75 ,$8.64 ,$10.67 ,5,67,17,35,56,8,17,23,A,1,,U,U,"$35,075.00 "
1,44715,$12.00 ,1,16,0,10,$10.00 ,$10.00 ,$7.19 ,,17,110,12,25,52,5,5,23,A,1,71,F,H,"$39,302.00 "
1,44705,$15.00 ,3,5,1,2,$12.00 ,$11.33 ,$9.80 ,$12.00 ,18,41,11,31,34,5,14,14,A,0,71,F,H,"$39,302.00 "
1,44765,$10.00 ,3,12,2,8,$10.00 ,$10.00 ,$9.25 ,$10.00 ,18,107,13,34,72,6,16,31,A,1,27,M,H,"$37,183.00 "
1,187707,$10.00 ,3,6,1,2,$15.00 ,$13.67 ,$12.17 ,$13.00 ,18,54,6,14,21,2,6,10,E,1,,M,U,$0.00 
1,2396,$5.00 ,2,3,1,1,$10.00 ,$7.50 ,$8.33 ,$10.00 ,18,21,16,21,21,5,7,6,N,0,,U,U,$0.00 
0,44795,,7,27,4,16,$5.00 ,$3.00 ,$2.67 ,$2.50 ,19,129,13,30,73,6,14,29,S,1,47,F,U,$0.00 
1,44800,$5.00 ,6,25,2,10,$11.00 ,$8.50 ,$7.32 ,$8.00 ,18,98,10,32,66,5,16,28,S,1,,U,U,$0.00 
0,44818,,5,11,2,5,$15.00 ,$14.40 ,$10.18 ,$17.50 ,20,75,15,34,54,6,15,22,S,1,70,M,H,"$36,928.00 "
1,44817,$5.00 ,8,14,6,11,$5.00 ,$3.75 ,$3.36 ,$3.67 ,18,64,14,33,47,6,16,19,S,1,79,F,H,"$36,928.00 "
1,40605,$5.00 ,4,13,2,7,$5.00 ,$5.25 ,$4.92 ,$5.50 ,15,123,11,29,57,5,12,25,A,1,65,F,H,"$36,928.00 "
1,44847,$10.00 ,4,13,1,7,$10.00 ,$8.50 ,$9.77 ,$7.00 ,15,119,15,32,73,6,13,26,S,1,45,M,H,"$35,890.00 "
0,44840,,4,7,1,4,$100.00 ,$67.50 ,$56.43 ,$60.00 ,19,68,15,36,56,6,17,22,A,0,62,M,H,"$35,890.00 "
1,44853,$12.00 ,7,14,3,6,$10.00 ,$13.00 ,$10.64 ,$13.33 ,19,64,15,37,55,6,17,22,A,1,67,M,H,"$39,394.00 "
0,44893,,4,15,3,10,$5.00 ,$5.00 ,$3.40 ,$5.00 ,17,125,8,18,37,3,7,13,S,1,77,F,H,"$36,898.00 "
0,44888,,4,29,3,13,$17.00 ,$18.75 ,$12.28 ,$18.67 ,21,105,13,32,74,6,17,29,A,1,73,M,U,$0.00 
0,44900,,1,5,0,3,$25.00 ,$25.00 ,$23.00 ,,27,81,10,29,47,4,4,21,A,0,67,M,H,"$44,917.00 "
0,44941,,3,4,2,2,$5.00 ,$10.67 ,$9.25 ,$10.00 ,15,24,15,26,24,6,11,9,N,0,59,F,H,"$39,172.00 "
0,44922,,1,2,0,1,$22.00 ,$22.00 ,$16.00 ,,26,42,9,27,29,4,4,11,A,0,46,F,H,"$39,172.00 "
0,12954,,2,12,0,1,$35.00 ,$27.50 ,$23.42 ,,6,52,33,53,64,10,10,22,A,0,87,M,H,"$33,284.00 "
0,45442,,4,7,3,6,$15.00 ,$16.75 ,$18.14 ,$15.67 ,17,73,13,30,50,6,15,21,A,1,85,U,U,$0.00 
1,45431,$20.00 ,2,3,1,1,$20.00 ,$17.50 ,$15.00 ,$20.00 ,17,44,14,32,37,6,14,14,A,0,71,F,H,"$33,933.00 "
1,45503,$5.00 ,5,15,1,6,$10.00 ,$7.00 ,$5.13 ,$5.00 ,19,105,13,34,64,6,16,26,S,1,60,M,H,"$36,911.00 "
0,45520,,2,3,0,1,$20.00 ,$15.00 ,$11.67 ,,20,44,12,28,32,6,6,12,A,0,,F,U,"$40,685.00 "
0,45513,,3,25,3,17,$11.00 ,$11.00 ,$11.40 ,$11.00 ,15,93,11,19,43,3,7,18,E,1,,F,U,$0.00 
